res_id,paramSet,rep,method,threshNr,nrTurns,length,angleMu,angleSD,stepMu,stepSD
197,1,7,1D,5,0.0842105263157895,0.820429442938621,2.496287501705,38.4991681369823,10.2553680367328,22.2011778765924
198,1,8,1D,5,0.0721649484536082,0.739595041179062,3.24506071640259,54.6577166098946,10.5656434454152,25.8542412861007
199,1,9,1D,5,0.0638297872340425,0.795895278614208,3.2136735765605,44.4876159625059,13.2649213102368,32.7700964599273
200,1,10,1D,5,0.0729166666666667,0.823499734047483,2.03738795119442,52.2308376106541,11.764281914964,25.717187077522
201,1,1,corridor,1,1,0.999934005880981,1.00411056246086,2.59238005433888,1.09882857789119,1.16409430010591
202,1,2,corridor,1,1,1,1.00124206806567,0.943943575668872,1.12359550561798,0.947911346597261
203,1,3,corridor,1,1,0.999930737627809,1.0043023271627,2.52980605069639,1.08688123655197,1.06887513250189
204,1,4,corridor,1,1,0.999999999999998,0.997940727124311,0.99683697057639,1.04166666666666,0.988968145191104
205,1,5,corridor,1,1,1,0.997585907386036,0.983214962388354,1.02040816326531,0.856215065423908
206,1,6,corridor,1,1,0.999999999999999,0.996155576829645,0.89987956919453,1.0752688172043,1.02455439254738
207,1,7,corridor,1,0.989473684210526,0.99987744354585,1.00373492884513,1.06322657050284,1.0636994080275,0.914116201198785
208,1,8,corridor,1,1,1,0.996971495488718,0.960549113384823,1.03092783505155,0.905521647444209
209,1,9,corridor,1,1,1,0.996812620813437,0.850400592343127,1.06382978723404,0.899659730451237
210,1,10,corridor,1,1,0.999926977653737,1.00140749672747,2.37391916221718,1.04159060172264,1.01281240301296
211,1,1,corridor,2,0.989010989010989,0.988981955543037,0.91638840765505,4.79146574277609,1.09886883949226,1.13296935328603
212,1,2,corridor,2,1,0.989140459216312,0.925316533879845,2.96526704258449,1.11139377440035,0.940439631179847
213,1,3,corridor,2,0.989130434782609,0.988856955141672,0.91269176761481,4.96510373213067,1.08665599466118,1.02008877359419
214,1,4,corridor,2,1,0.988369098488208,0.880795572989309,4.22754951407361,1.02955114425855,0.982253107274986
215,1,5,corridor,2,1,0.988204906522118,0.898479875565878,3.76397492225524,1.008372353594,0.842074899170037
216,1,6,corridor,2,1,0.98884512162743,0.889637715447547,3.58992748561162,1.06327432433057,1.02749774383567
217,1,7,corridor,2,0.989473684210526,0.988429129576709,0.906550575820191,3.50437661188027,1.05152035061352,0.917169115647909
218,1,8,corridor,2,1,0.988347571183321,0.892417649234084,3.95973978382931,1.01891502183847,0.903914047384497
219,1,9,corridor,2,1,0.988635679995315,0.887806175209417,3.68099486304577,1.0517400851014,0.896234764654317
220,1,10,corridor,2,0.989583333333333,0.988473875861211,0.911589570756903,4.9003862995618,1.04049881669601,0.956060663235172
221,1,1,corridor,3,0.956043956043956,0.978035412806863,0.768146083397394,10.885566435896,1.12417863541019,0.962209643348972
222,1,2,corridor,3,0.97752808988764,0.977862776979725,0.836435470406706,8.97279945789205,1.12398020342497,0.750955804034535
223,1,3,corridor,3,0.945652173913043,0.977937504260009,0.774728937289263,10.2233310997285,1.12406609685059,0.841803884942551
224,1,4,corridor,3,0.958333333333333,0.977045269975027,0.732720638450965,9.91912379520176,1.06200572823373,0.741952895161957
225,1,5,corridor,3,0.959183673469388,0.976158397307241,0.760724847398579,9.15442351539494,1.03846638011409,0.650201055963974
226,1,6,corridor,3,0.924731182795699,0.977796202473111,0.779991064915439,9.58434600197845,1.13697232845711,0.836873070581318
227,1,7,corridor,3,0.957894736842105,0.976603129336224,0.773370833632798,9.80176516132653,1.07319025201783,0.772008272778249
228,1,8,corridor,3,0.948453608247423,0.976503120883102,0.768921317482887,9.80743847252455,1.0614164357425,0.652051006148931
229,1,9,corridor,3,0.968085106382979,0.976893729503783,0.74395518209356,9.45656674955949,1.0735095928613,0.687726510027034
230,1,10,corridor,3,0.947916666666667,0.976772753382486,0.768993782508448,11.1869347817657,1.07337665206867,0.702766482909754
231,1,1,corridor,4,0.725274725274725,0.969487133558801,0.807230411112671,15.3645051872403,1.46891989933152,1.30022832516024
232,1,2,corridor,4,0.808988764044944,0.968385445301341,0.794365654271742,16.6571037867305,1.34497978514075,0.605197436763988
233,1,3,corridor,4,0.760869565217391,0.96715536556091,0.748010975273274,13.6123802559585,1.38165052222987,1.14282025629725
234,1,4,corridor,4,0.729166666666667,0.967562443977107,0.704849500821665,14.0137162734353,1.38223206282444,0.757260570502391
235,1,5,corridor,4,0.714285714285714,0.966144354604942,0.769072504449146,15.6825055969088,1.3802062208642,0.945592957827486
236,1,6,corridor,4,0.731182795698925,0.968343404543537,0.704475852718349,14.5550504983693,1.42403441844638,1.19418194888648
237,1,7,corridor,4,0.736842105263158,0.967902533401829,0.753720346978237,16.5623288435225,1.38271790485976,0.989040893790605
238,1,8,corridor,4,0.711340206185567,0.967766352949916,0.804463596562404,14.8158612744634,1.40255993181147,1.12584392735066
239,1,9,corridor,4,0.734042553191489,0.967858121519414,0.740972416399631,15.5068470840507,1.40269292973828,0.909799181687742
240,1,10,corridor,4,0.739583333333333,0.967025446623894,0.777175623350108,15.2935539151356,1.36200767130126,0.943464199862821
241,1,1,corridor,5,0.571428571428571,0.963375893835513,0.893964490758395,18.3472777240248,1.85264594968368,1.73932239883173
242,1,2,corridor,5,0.595505617977528,0.961738295104215,0.938673014825635,19.934201770181,1.81460055680041,1.40207054044713
243,1,3,corridor,5,0.554347826086957,0.962838120614979,0.918345950403277,16.6234257413068,1.88791788355878,1.53123121838916
244,1,4,corridor,5,0.510416666666667,0.96397899519763,0.861863167833879,16.2166568158138,1.9673040718319,1.60116540528339
245,1,5,corridor,5,0.510204081632653,0.961202438453792,0.979074645997268,18.2629873738793,1.92240487690758,1.33775023652596
246,1,6,corridor,5,0.56989247311828,0.962620329202832,0.732162452343244,16.0939915121986,1.81626477208082,1.49649474955597
